dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,0.5874891182688721,0.44042553191489364,0.41814814814814816,0.344972288202692,0.4911111111111111,0.6245340050377833,0.10556238475722188
Cars,DTD,EuroSAT,RESISC45,0.5904738216639721,0.44840425531914896,0.43703703703703706,0.2725257323832146,0.5453968253968254,0.6271536523929471,0.09787953288260602
Cars,DTD,EuroSAT,SUN397,0.5910956348712847,0.43936170212765957,0.4255555555555556,0.2772763262074426,0.49603174603174605,0.6353148614609572,0.097380147510756
Cars,DTD,EuroSAT,SVHN,0.5883596567591096,0.4398936170212766,0.4311111111111111,0.28630245447347585,0.4946031746031746,0.624080604534005,0.18035494775660726
Cars,DTD,GTSRB,RESISC45,0.5886083820420346,0.4409574468085106,0.23185185185185186,0.3431512272367379,0.5465079365079365,0.6261964735516373,0.11097879532882605
Cars,DTD,GTSRB,SUN397,0.5904738216639721,0.4372340425531915,0.22074074074074074,0.34631828978622325,0.4922222222222222,0.6360201511335013,0.11067148125384142
Cars,DTD,GTSRB,SVHN,0.587986568834722,0.4430851063829787,0.22740740740740742,0.3518606492478226,0.4873015873015873,0.6227707808564231,0.20202059004302397
Cars,DTD,RESISC45,SUN397,0.5934585250590723,0.4441489361702128,0.24444444444444444,0.2713380839271576,0.549047619047619,0.6372795969773299,0.10172095881991396
Cars,DTD,RESISC45,SVHN,0.5899763710981222,0.44574468085106383,0.25851851851851854,0.2768012668250198,0.5501587301587302,0.6258942065491184,0.18438844499078058
Cars,DTD,SUN397,SVHN,0.5909712722298222,0.4420212765957447,0.24333333333333335,0.28368962787015045,0.4949206349206349,0.6364231738035264,0.18227566072526122
Cars,EuroSAT,GTSRB,RESISC45,0.5897276458151971,0.4223404255319149,0.44407407407407407,0.33832145684877274,0.5438095238095239,0.62544080604534,0.10974953902888752
Cars,EuroSAT,GTSRB,SUN397,0.5897276458151971,0.42127659574468085,0.4311111111111111,0.34156769596199527,0.4953968253968254,0.6341057934508816,0.10940381069452981
Cars,EuroSAT,GTSRB,SVHN,0.587737843551797,0.4186170212765957,0.4348148148148148,0.3491686460807601,0.4922222222222222,0.621712846347607,0.20482483097725876
Cars,EuroSAT,RESISC45,SUN397,0.5925879865688347,0.42606382978723406,0.4411111111111111,0.2697545526524149,0.5458730158730158,0.6357682619647356,0.10053011677934849
Cars,EuroSAT,RESISC45,SVHN,0.5896032831737346,0.425,0.4474074074074074,0.27988915281076804,0.5504761904761905,0.6249370277078086,0.1894975414874001
Cars,EuroSAT,SUN397,SVHN,0.5905981843054346,0.4218085106382979,0.4362962962962963,0.28511480601741884,0.49857142857142855,0.6333501259445844,0.1880762138905962
Cars,GTSRB,RESISC45,SUN397,0.5927123492102973,0.4218085106382979,0.2374074074074074,0.3382422802850356,0.5465079365079365,0.6359697732997481,0.11520436385986478
Cars,GTSRB,RESISC45,SVHN,0.587240392985947,0.4207446808510638,0.2551851851851852,0.3430720506730008,0.5455555555555556,0.6232745591939547,0.20981868469575907
Cars,GTSRB,SUN397,SVHN,0.5913443601542097,0.4175531914893617,0.2414814814814815,0.34718923198733176,0.49444444444444446,0.6330478589420655,0.20851259987707438
Cars,RESISC45,SUN397,SVHN,0.5929610744932222,0.42606382978723406,0.2614814814814815,0.2737133808392716,0.5504761904761905,0.636272040302267,0.19130301167793484
DTD,EuroSAT,GTSRB,RESISC45,0.5488123367740331,0.4473404255319149,0.43148148148148147,0.34338875692794935,0.543968253968254,0.6227707808564231,0.11078672403196066
DTD,EuroSAT,GTSRB,SUN397,0.5512995896032832,0.4420212765957447,0.4166666666666667,0.34109263657957245,0.49396825396825395,0.632896725440806,0.11055623847572218
DTD,EuroSAT,GTSRB,SVHN,0.5512995896032832,0.4398936170212766,0.42,0.35122723673792555,0.490952380952381,0.6197481108312343,0.20651505838967424
DTD,EuroSAT,RESISC45,SUN397,0.5544086556398458,0.44840425531914896,0.43592592592592594,0.2717339667458432,0.549047619047619,0.6341057934508816,0.10156730178242164
DTD,EuroSAT,RESISC45,SVHN,0.5510508643203582,0.45053191489361705,0.43703703703703706,0.28139350752177356,0.5492063492063493,0.6225692695214106,0.18957437000614627
DTD,EuroSAT,SUN397,SVHN,0.5514239522447457,0.4398936170212766,0.4225925925925926,0.28653998416468723,0.49793650793650795,0.6332493702770781,0.188460356484327
DTD,GTSRB,RESISC45,SUN397,0.5521701280935207,0.4425531914893617,0.23,0.3398258115597783,0.5461904761904762,0.6351637279596978,0.11604947756607252
DTD,GTSRB,RESISC45,SVHN,0.5489366994154956,0.4452127659574468,0.24444444444444444,0.34742676167854314,0.546031746031746,0.6214105793450881,0.21208512599877075
DTD,GTSRB,SUN397,SVHN,0.5505534137545082,0.44148936170212766,0.2288888888888889,0.35003958828186854,0.4946031746031746,0.6325944584382871,0.21035648432698217
DTD,RESISC45,SUN397,SVHN,0.5535381171496082,0.4452127659574468,0.25666666666666665,0.27569279493269994,0.5501587301587302,0.6354659949622167,0.19218653964351567
EuroSAT,GTSRB,RESISC45,SUN397,0.5504290511130456,0.425,0.4414814814814815,0.3371338083927158,0.5468253968253968,0.6320403022670025,0.11397510755992625
EuroSAT,GTSRB,RESISC45,SVHN,0.5486879741325705,0.42127659574468085,0.4444444444444444,0.3447347585114806,0.5449206349206349,0.6189420654911839,0.21431315304240933
EuroSAT,GTSRB,SUN397,SVHN,0.5514239522447457,0.4223404255319149,0.43222222222222223,0.34711005542359463,0.49476190476190474,0.6310831234256927,0.21339121081745543
EuroSAT,RESISC45,SUN397,SVHN,0.5515483148862081,0.4223404255319149,0.4451851851851852,0.2789390340459224,0.5488888888888889,0.6324937027707809,0.19598955132145052
GTSRB,RESISC45,SUN397,SVHN,0.5515483148862081,0.425531914893617,0.25296296296296295,0.3417260490894695,0.5480952380952381,0.6331989924433249,0.21746312231100184
